client_id,Delinquent90
75000,0.07
75001,0.71
75002,0.0
75003,0.15
75004,0.0
75005,0.03
75006,0.0
75007,0.03
75008,0.03
75009,0.11
75010,0.13
75011,0.01
75012,0.08
75013,0.0
75014,0.41
75015,0.39
75016,0.11
75017,0.07
75018,0.0
75019,0.09
75020,0.01
75021,0.1
75022,0.09
75023,0.0
75024,0.07
75025,0.26
75026,0.01
75027,0.0
75028,0.01
75029,0.0
75030,0.0
75031,0.01
75032,0.04
75033,0.03
75034,0.0
75035,0.0
75036,0.0
75037,0.0
75038,0.0
75039,0.08
75040,0.0
75041,0.01
75042,0.01
75043,0.0
75044,0.01
75045,0.13
75046,0.0
75047,0.03
75048,0.16
75049,0.2
75050,0.0
75051,0.0
75052,0.27
75053,0.0
75054,0.03
75055,0.02
75056,0.04
75057,0.07
75058,0.0
75059,0.14
75060,0.08
75061,0.0
75062,0.11
75063,0.0
75064,0.12
75065,0.0
75066,0.03
75067,0.02
75068,0.04
75069,0.0
75070,0.03
75071,0.04
75072,0.04
75073,0.05
75074,0.05
75075,0.02
75076,0.02
75077,0.08
75078,0.18
75079,0.0
75080,0.01
75081,0.25
75082,0.0
75083,0.03
75084,0.01
75085,0.03
75086,0.03
75087,0.03
75088,0.0
75089,0.01
75090,0.0
75091,0.09
75092,0.18
75093,0.0
75094,0.0
75095,0.0
75096,0.0
75097,0.04
75098,0.04
75099,0.09
75100,0.05
75101,0.01
75102,0.02
75103,0.01
75104,0.24
75105,0.1
75106,0.01
75107,0.06
75108,0.0
75109,0.02
75110,0.0
75111,0.07
75112,0.0
75113,0.0
75114,0.0
75115,0.04
75116,0.0
75117,0.0
75118,0.02
75119,0.43
75120,0.01
75121,0.08
75122,0.0
75123,0.18
75124,0.0
75125,0.01
75126,0.0
75127,0.01
75128,0.19
75129,0.08
75130,0.15
75131,0.04
75132,0.31
75133,0.0
75134,0.34
75135,0.08
75136,0.24
75137,0.0
75138,0.01
75139,0.05
75140,0.0
75141,0.0
75142,0.05
75143,0.03
75144,0.11
75145,0.45
75146,0.09
75147,0.0
75148,0.06
75149,0.03
75150,0.37
75151,0.02
75152,0.09
75153,0.05
75154,0.0
75155,0.01
75156,0.01
75157,0.01
75158,0.05
75159,0.01
75160,0.06
75161,0.01
75162,0.25
75163,0.05
75164,0.03
75165,0.01
75166,0.06
75167,0.15
75168,0.03
75169,0.04
75170,0.11
75171,0.0
75172,0.03
75173,0.0
75174,0.0
75175,0.01
75176,0.02
75177,0.01
75178,0.0
75179,0.04
75180,0.0
75181,0.06
75182,0.09
75183,0.0
75184,0.38
75185,0.11
75186,0.05
75187,0.0
75188,0.08
75189,0.0
75190,0.11
75191,0.02
75192,0.05
75193,0.0
75194,0.46
75195,0.01
75196,0.09
75197,0.03
75198,0.15
75199,0.04
75200,0.02
75201,0.33
75202,0.08
75203,0.0
75204,0.04
75205,0.03
75206,0.04
75207,0.29
75208,0.02
75209,0.02
75210,0.0
75211,0.1
75212,0.1
75213,0.09
75214,0.15
75215,0.04
75216,0.0
75217,0.24
75218,0.06
75219,0.03
75220,0.03
75221,0.03
75222,0.01
75223,0.01
75224,0.02
75225,0.03
75226,0.0
75227,0.0
75228,0.03
75229,0.14
75230,0.12
75231,0.02
75232,0.13
75233,0.0
75234,0.02
75235,0.0
75236,0.03
75237,0.13
75238,0.03
75239,0.0
75240,0.0
75241,0.01
75242,0.22
75243,0.0
75244,0.0
75245,0.17
75246,0.01
75247,0.0
75248,0.0
75249,0.0
75250,0.09
75251,0.0
75252,0.04
75253,0.01
75254,0.03
75255,0.0
75256,0.01
75257,0.18
75258,0.02
75259,0.18
75260,0.08
75261,0.07
75262,0.08
75263,0.0
75264,0.02
75265,0.01
75266,0.0
75267,0.04
75268,0.0
75269,0.0
75270,0.06
75271,0.02
75272,0.25
75273,0.0
75274,0.15
75275,0.03
75276,0.05
75277,0.0
75278,0.08
75279,0.0
75280,0.0
75281,0.09
75282,0.01
75283,0.04
75284,0.03
75285,0.01
75286,0.0
75287,0.12
75288,0.04
75289,0.01
75290,0.0
75291,0.0
75292,0.03
75293,0.36
75294,0.04
75295,0.1
75296,0.0
75297,0.0
75298,0.0
75299,0.0
75300,0.07
75301,0.41
75302,0.04
75303,0.01
75304,0.27
75305,0.0
75306,0.0
75307,0.06
75308,0.0
75309,0.08
75310,0.02
75311,0.14
75312,0.0
75313,0.09
75314,0.0
75315,0.0
75316,0.03
75317,0.0
75318,0.24
75319,0.02
75320,0.17
75321,0.0
75322,0.01
75323,0.02
75324,0.0
75325,0.25
75326,0.04
75327,0.3
75328,0.03
75329,0.05
75330,0.0
75331,0.03
75332,0.0
75333,0.19
75334,0.0
75335,0.12
75336,0.0
75337,0.24
75338,0.0
75339,0.03
75340,0.02
75341,0.01
75342,0.0
75343,0.08
75344,0.07
75345,0.0
75346,0.16
75347,0.05
75348,0.01
75349,0.03
75350,0.01
75351,0.0
75352,0.08
75353,0.0
75354,0.33
75355,0.0
75356,0.25
75357,0.12
75358,0.01
75359,0.0
75360,0.0
75361,0.4
75362,0.03
75363,0.0
75364,0.01
75365,0.02
75366,0.0
75367,0.01
75368,0.03
75369,0.29
75370,0.0
75371,0.01
75372,0.02
75373,0.24
75374,0.03
75375,0.03
75376,0.0
75377,0.05
75378,0.0
75379,0.02
75380,0.01
75381,0.02
75382,0.17
75383,0.22
75384,0.03
75385,0.05
75386,0.02
75387,0.14
75388,0.0
75389,0.06
75390,0.0
75391,0.04
75392,0.01
75393,0.02
75394,0.0
75395,0.07
75396,0.13
75397,0.0
75398,0.0
75399,0.02
75400,0.66
75401,0.0
75402,0.03
75403,0.01
75404,0.19
75405,0.17
75406,0.04
75407,0.07
75408,0.04
75409,0.01
75410,0.23
75411,0.08
75412,0.0
75413,0.02
75414,0.07
75415,0.09
75416,0.03
75417,0.05
75418,0.08
75419,0.01
75420,0.05
75421,0.0
75422,0.0
